,waitlistFlag,sanctionFlag,contactDetails_address_geoLocationDetails_latitude,contactDetails_address_geoLocationDetails_longitude,Room Size,home,maximumRAD,maximumDAP
7433,True,False,-30.324788,149.775936,16m2,The Whiddon Group - Narrabri - Jessie Hunt,299000.0,51.44
7434,True,False,-30.3275528,149.7784918,18-22m2,The Whiddon Group - Narrabri - Robert Young,299000.0,51.44
7435,True,False,-30.3275528,149.7784918,18-22,The Whiddon Group - Narrabri - Robert Young,299000.0,51.44
7436,True,False,-33.0051131,151.7151851,14-22m2,The Whiddon Group - Redhead,349000.0,60.05
7437,True,False,-33.0051131,151.7151851,14-22m2,The Whiddon Group - Redhead,299000.0,51.44
7441,True,False,-34.4434361,147.5422705,16m2,The Whiddon Group - Temora,299000.0,51.44
7442,True,False,-34.4434361,147.5422705,16,The Whiddon Group - Temora,299000.0,51.44
7443,True,False,,,16,The Whiddon Group - Weeronga,299000.0,51.44
7444,True,False,-31.8692008,152.3707146,16,The Whiddon Group - Wingham,299000.0,51.44
7445,True,False,-31.8692008,152.3707146,16,The Whiddon Group - Wingham,299000.0,51.44
7446,True,False,-31.8692008,152.3707146,16,The Whiddon Group - Wingham - Primrose,299000.0,51.44
7447,True,False,-31.8692008,152.3707146,16,The Whiddon Group - Wingham - Primrose,299000.0,51.44
7448,True,False,-33.3568323,138.205006,18.9,The Willochra Home,400000.0,68.82
7449,True,False,-33.3568323,138.205006,15.8 squ m,The Willochra Home,350000.0,60.22
7450,True,False,-33.3568323,138.205006,15.1 sqm - 17.6 sqm,The Willochra Home,300000.0,51.62
7451,True,False,-33.3568323,138.205006,14.1sqm minimum,The Willochra Home,250000.0,43.01
7457,False,False,-33.720719,151.1166122,14m2,Thomas and Rosetta Agst Aged Care Facility,550000.0,94.63
7458,True,False,-34.8310657,148.9121956,6.0m x 4.0m = 24.00m2,Thomas Eccles Gardens,350000.0,60.22
7459,True,False,-34.8310657,148.9121956,6.1m x 3.5m = 21.00m2,Thomas Eccles Gardens,350000.0,60.22
7460,True,False,-34.8310657,148.9121956,5.9m x 4.0m = 23.60m2,Thomas Eccles Gardens,350000.0,60.22
